Time ,Total,Hydrophobic,Hydrophilic
617400,242.959,109.376,108.444
618100,247.114,112.332,109.419
618800,250.173,109.057,113.434
619500,243.171,106.673,107.772
620200,244.562,110.215,105.872
620900,241.406,104.715,107.261
621600,243.97,105.182,110.827
622300,241.069,108.886,104.894
623000,241.342,107.263,106.872
623700,243.954,105.952,111.733
624400,240.103,107.081,106.621
625100,239.72,108.394,102.574
625800,235.743,104.432,105.597
626500,241.899,107.226,106.893
627200,245.005,108.655,109.178
627900,242.853,108.818,107.944
628600,239.981,106.749,107.921
629300,242.243,107.264,109.219
630000,241.688,107.004,108.561
630700,241.641,106.803,107.718
631400,240.784,106.676,109.981
632100,242.833,109.502,109.402
632800,244.861,110.47,109.728
633500,242.397,107.422,109.713
634200,239.436,108.139,105.879
634900,239.501,106.197,108.521
635600,239.868,106.39,107.303
636300,243.852,106.03,110.224
637000,239.634,102.593,112.684
637700,240.849,105.327,111.338
638400,241.81,105.589,110.502
639100,247.173,106.505,113.061
639800,240.781,105.302,109.391
640500,246.799,106.915,113.437
641200,245.106,109.145,107.523
641900,240.247,104.055,110.208
642600,244.546,109.373,110.063
643300,241.333,105.785,108.086
644000,235.072,103.279,108.08
644700,233.888,105.033,105.878
645400,235.162,104.013,106.709
646100,231.061,104.407,103.293
646800,239.19,104.967,108.603
647500,233.683,103.999,104.556
